用户id,订单量,商品种类数,商品数量,用户长度,复购次数
10174,3,3,3,233,0
10175,3,3,6,88,0
10176,10,7,21,340,3
10177,2,2,2,50,0
10178,12,9,12,301,3
10179,1,1,1,57,
1018,9,8,9,323,1
10180,6,5,6,242,1
10181,16,4,29,318,12
10182,3,3,3,80,0
10183,6,5,7,81,1
10184,6,4,7,171,2
10185,12,8,18,306,4
10186,8,6,9,247,2
10187,5,5,6,56,0
10188,3,2,3,47,1
10189,3,1,3,82,2
1019,10,7,11,342,3
10190,2,2,2,48,0
10191,12,11,19,330,1
10192,8,7,11,131,1
10193,8,6,8,335,2
10194,1,1,1,39,
10195,5,5,5,338,0
10196,6,2,11,182,4
10197,15,6,19,244,9
10198,9,6,9,116,3
10199,4,3,4,17,1
102,13,2,19,355,11
1020,14,6,14,186,8
10200,9,5,10,345,4
10201,1,1,1,62,
10202,7,5,9,57,2
10203,8,5,13,351,3
10204,4,4,26,100,0
10205,6,5,10,195,1
10206,14,11,18,324,3
10207,8,4,11,324,4
10208,8,7,19,163,1
10209,7,6,7,328,1
1021,12,4,12,286,8
10210,9,3,12,364,6
10211,5,3,7,203,2
10212,9,7,12,313,2
10213,9,7,20,291,2
10214,18,7,35,316,11
10215,5,3,6,325,2
10216,6,5,19,344,1
10217,2,2,2,19,0
10218,5,4,6,364,1
10219,1,1,1,39,
1022,2,2,2,12,0
10220,1,1,1,36,
10221,11,5,14,173,6
10222,1,1,1,82,
10223,10,7,12,348,3
10224,24,12,30,336,12
10225,7,5,7,120,2
10226,33,21,40,280,12
10227,12,3,15,225,9
10228,33,18,44,241,15
10229,2,2,3,19,0
1023,1,1,1,25,
10230,19,13,24,317,6
10231,1,1,1,83,
10232,1,1,1,50,
10233,40,19,130,327,21
10234,4,4,4,28,0
10235,3,2,3,81,1
10236,1,1,1,33,
10237,1,1,1,84,
10238,3,3,3,5,0
10239,18,4,22,350,14
1024,3,2,4,18,1
10240,8,4,19,290,4
10241,17,12,18,349,5
10242,24,16,28,344,8
10243,1,1,1,57,
10244,5,5,7,84,0
10245,6,4,6,108,2
10246,1,1,1,75,
10247,27,17,36,327,10
10248,2,2,2,273,0
10249,22,11,33,332,11
1025,5,4,7,289,1
10250,3,3,3,160,0
10251,4,4,4,65,0
10252,1,1,1,46,
10253,2,2,2,39,0
10254,2,2,2,24,0
10255,23,9,70,361,14
10256,8,5,15,296,3
10257,4,2,4,171,2
10258,3,1,3,159,2
10259,6,5,6,145,1
1026,9,5,18,351,4
10260,1,1,1,63,
10261,11,2,11,350,9
10262,3,2,3,180,1
10263,6,4,6,147,2
10264,2,2,4,23,0
10265,11,7,15,354,4
10266,2,2,2,50,0
10267,7,4,8,188,3
10268,9,5,24,341,4
10269,1,1,1,65,
1027,2,1,2,86,1
10270,1,1,1,16,
10271,1,1,1,20,
10272,2,2,2,102,0
10273,7,5,9,232,2
10274,7,3,13,330,4
10275,5,5,6,67,0
10276,1,1,2,10,
10277,10,9,10,291,1
10278,1,1,1,34,
10279,13,13,21,353,0
1028,10,10,11,238,0
10280,11,5,11,349,6
10281,9,5,15,250,4
10282,4,3,4,67,1
10283,4,4,5,364,0
10284,1,1,2,69,
10285,10,3,13,363,7
10286,5,4,5,82,1
10287,2,2,2,22,0
10288,10,4,12,362,6
10289,21,12,23,270,9
1029,5,5,5,318,0
10290,10,8,13,334,2
10291,4,3,4,83,1
10292,7,7,8,190,0
10293,7,3,11,209,4
10294,1,1,1,13,
10295,5,4,6,185,1
10296,1,1,3,73,
10297,5,4,14,181,1
10298,7,5,10,258,2
10299,4,4,4,97,0
103,1,1,1,40,
1030,1,1,1,68,
10300,2,2,2,74,0
10301,2,2,2,68,0
10302,14,13,18,330,1
10303,39,12,82,361,27
10304,1,1,1,30,
10305,1,1,1,70,
10306,1,1,3,42,
10307,6,4,6,140,2
10308,9,7,9,113,2
10309,2,2,2,61,0
1031,6,5,6,251,1
10310,10,9,13,173,1
10311,1,1,1,42,
10312,12,4,22,239,8
10313,2,1,2,52,1
10314,2,2,2,97,0
10315,2,2,3,210,0
10316,5,3,5,99,2
10317,1,1,1,56,
10318,1,1,1,1,
10319,3,2,6,54,1
1032,6,3,6,364,3
10320,7,7,7,312,0
10321,8,4,10,342,4
10322,5,2,9,207,3
10323,12,10,16,185,2
10324,7,6,7,364,1
10325,9,7,9,111,2
10326,15,9,17,302,6
10327,7,5,20,86,2
10328,9,9,14,106,0
10329,1,1,1,12,
1033,7,7,7,356,0
10330,1,1,2,59,
10331,16,4,47,357,12
10332,2,1,2,15,1
10333,4,4,5,87,0
10334,5,3,15,70,2
10335,2,2,2,20,0
10336,15,12,20,349,3
10337,1,1,1,16,
10338,4,4,5,181,0
10339,19,9,23,337,10
1034,7,3,7,355,4
10340,7,5,8,243,2
10341,4,3,5,46,1
10342,9,7,11,250,2
10343,16,11,23,361,5
10344,4,3,4,183,1
10345,32,11,41,365,21
10346,23,16,39,356,7
10347,4,3,5,195,1
10348,1,1,1,55,
10349,6,4,6,179,2
1035,15,6,16,362,9
10350,6,2,6,252,4
10351,7,7,9,300,0
10352,1,1,1,34,
10353,10,4,11,202,6
10354,6,6,7,193,0
10355,4,4,5,362,0
10356,3,2,3,75,1
10357,7,7,7,209,0
10358,17,9,47,362,8
10359,37,18,66,349,19
1036,20,10,21,343,10
10360,17,9,36,207,8
10361,3,3,3,50,0
10362,14,5,15,140,9
10363,15,15,15,248,0
10364,2,2,2,50,0
10365,13,5,17,321,8
10366,1,1,1,20,
10367,13,12,13,177,1
10368,1,1,1,61,
10369,1,1,1,22,
1037,1,1,4,85,
10370,4,4,7,353,0
10371,15,10,18,345,5
10372,3,3,3,12,0
10373,1,1,1,48,
10374,1,1,1,14,
10375,4,4,4,175,0
10376,16,10,26,185,6
10377,1,1,1,76,
10378,15,9,17,333,6
10379,20,11,25,293,9
1038,2,1,2,84,1
10380,7,5,8,150,2
10381,1,1,2,63,
10382,1,1,2,87,
10383,3,3,3,11,0
10384,10,8,10,344,2
10385,9,6,9,127,3
10386,3,3,10,72,0
10387,9,5,11,347,4
10388,1,1,1,74,
10389,3,3,3,141,0
1039,1,1,2,19,
10390,18,9,31,322,9
10391,13,4,15,357,9
10392,16,9,16,260,7
10393,4,2,6,75,2
10394,1,1,1,19,
10395,12,8,16,351,4
10396,12,3,12,149,9
10397,1,1,1,24,
10398,14,11,16,186,3
10399,4,3,4,119,1
104,3,3,3,87,0
1040,1,1,2,68,
10400,1,1,1,15,
10401,13,8,13,340,5
10402,11,2,11,362,9
10403,15,7,19,193,8
10404,3,3,7,277,0
10405,3,1,3,204,2
10406,4,3,4,160,1
10407,7,4,20,346,3
10408,18,5,25,350,13
10409,12,6,21,345,6
1041,9,2,9,361,7
10410,1,1,2,80,
10411,6,4,6,107,2
10412,4,3,5,23,1
10413,7,4,7,246,3
10414,20,17,23,317,3
10415,2,2,3,39,0
10416,10,9,11,179,1
10417,2,1,2,49,1
10418,1,1,1,50,
10419,14,11,19,322,3
1042,3,3,5,27,0
10420,7,4,8,183,3
10421,9,4,28,136,5
10422,1,1,2,66,
10423,3,3,3,62,0
10424,4,3,5,31,1
10425,2,2,2,233,0
10426,15,11,15,349,4
10427,28,13,47,344,15
10428,4,3,4,152,1
10429,2,2,2,171,0
1043,17,5,20,347,12
10430,8,3,8,303,5
10431,2,2,2,85,0
10432,2,2,6,24,0
10433,23,17,30,329,6
10434,1,1,1,80,
10435,21,11,39,346,10
10436,4,4,7,64,0
10437,31,4,32,359,27
10438,10,6,10,157,4
10439,6,6,6,61,0
1044,13,9,16,180,4
10440,24,18,27,285,6
10441,16,10,16,348,6
10442,2,2,2,34,0
10443,23,10,31,218,13
10444,3,3,3,238,0
10445,8,6,22,330,2
10446,1,1,1,77,
10447,10,5,11,335,5
10448,3,1,4,98,2
10449,15,8,18,356,7
1045,11,6,11,357,5
10450,17,14,18,201,3
10451,1,1,1,43,
10452,3,3,4,149,0
10453,2,2,2,65,0
10454,9,5,21,270,4
10455,2,1,2,108,1
10456,7,4,7,76,3
10457,5,3,9,159,2
10458,5,5,5,173,0
10459,6,4,8,323,2
1046,3,1,6,88,2
10460,8,6,9,361,2
10461,2,2,2,5,0
10462,14,7,40,172,7
10463,1,1,1,60,
10464,10,7,16,173,3
10465,8,3,14,104,5
10466,57,27,63,338,30
10467,4,3,4,187,1
10468,2,2,2,271,0
10469,6,5,6,245,1
1047,1,1,1,27,
10470,1,1,1,58,
10471,1,1,1,87,
10472,3,3,3,123,0
10473,16,5,34,249,11
10474,1,1,2,37,
10475,1,1,1,45,
10476,26,16,84,349,10
10477,5,4,5,139,1
10478,8,5,8,126,3
10479,4,4,4,33,0
1048,7,3,19,80,4
10480,1,1,3,23,
10481,4,4,6,121,0
10482,2,2,2,203,0
10483,20,10,29,295,10
10484,7,6,7,196,1
10485,46,9,75,364,37
10486,3,3,3,211,0
10487,1,1,2,28,
10488,1,1,1,86,
10489,6,6,10,328,0
1049,1,1,1,23,
10490,1,1,1,38,
10491,3,3,4,63,0
10492,22,8,43,364,14
10493,2,2,2,3,0
10494,5,4,6,73,1
10495,18,17,20,207,1
10496,6,6,8,156,0
10497,4,4,4,157,0
10498,2,1,2,26,1
10499,9,5,12,176,4
105,9,9,12,318,0
1050,2,2,2,120,0
10500,1,1,1,26,
10501,3,1,4,107,2
10502,25,8,39,341,17
10503,2,2,3,85,0
10504,4,2,4,85,2
10505,8,8,15,99,0
10506,6,6,6,12,0
10507,21,8,40,364,13
10508,44,30,59,360,14
10509,17,8,21,187,9
1051,23,20,29,304,3
10510,6,3,7,67,3
10511,22,17,22,310,5
10512,6,4,8,211,2
10513,4,2,8,84,2
10514,12,6,42,117,6
10515,13,5,15,350,8
10516,9,9,14,357,0
10517,2,1,2,128,1
10518,7,6,7,357,1
10519,2,2,2,76,0
1052,1,1,1,79,
10520,21,11,30,317,10
10521,1,1,2,21,
10522,3,3,3,40,0
10523,1,1,4,86,
10524,9,7,9,317,2
10525,3,3,4,242,0
10526,2,1,2,257,1
10527,5,2,5,139,3
10528,6,3,12,86,3
10529,2,2,2,15,0
1053,1,1,1,35,
10530,5,5,6,171,0
10531,5,5,8,20,0
10532,2,2,3,122,0
10533,2,1,2,155,1
10534,27,20,43,347,7
10535,1,1,1,13,
10536,1,1,1,85,
10537,1,1,2,15,
10538,13,12,19,171,1
10539,13,6,16,223,7
1054,10,2,12,325,8
10540,4,1,5,83,3
10541,1,1,1,68,
10542,6,1,11,180,5
10543,10,3,14,273,7
10544,11,5,11,214,6
10545,7,6,12,39,1
10546,4,3,5,317,1
10547,9,3,9,197,6
10548,2,1,8,77,1
10549,6,1,7,348,5
1055,14,6,16,225,8
10550,5,4,5,218,1
10551,3,2,4,40,1
10552,1,1,2,67,
10553,10,3,11,337,7
10554,3,3,5,122,0
10555,1,1,2,45,
10556,2,2,2,40,0
10557,9,8,16,204,1
10558,1,1,1,10,
10559,4,4,8,80,0
1056,7,6,7,226,1
10560,9,8,9,116,1
10561,1,1,1,80,
10562,7,3,7,139,4
10563,2,2,2,38,0
10564,2,1,4,19,1
10565,16,12,32,292,4
10566,5,2,10,314,3
10567,20,7,31,363,13
10568,21,9,21,329,12
10569,1,1,1,26,
1057,9,6,9,250,3
10570,1,1,1,80,
10571,1,1,1,57,
10572,8,7,8,165,1
10573,9,7,10,223,2
10574,4,3,4,197,1
10575,38,10,94,361,28
10576,5,5,5,137,0
10577,5,4,13,13,1
10578,12,8,13,364,4
10579,15,8,20,348,7
1058,1,1,1,13,
10580,3,3,4,170,0
10581,18,13,18,310,5
10582,21,10,51,347,11
10583,1,1,1,78,
10584,3,1,4,334,2
10585,4,3,4,125,1
10586,8,6,19,360,2
10587,5,2,5,177,3
10588,2,2,3,126,0
10589,2,1,2,87,1
1059,2,2,2,67,0
10590,2,2,4,6,0
10591,8,5,12,187,3
10592,6,4,8,238,2
10593,2,1,2,198,1
10594,9,3,10,117,6
10595,11,9,14,353,2
10596,2,2,3,159,0
10597,4,4,4,59,0
10598,10,7,10,241,3
10599,3,2,3,135,1
106,21,8,46,361,13
1060,11,5,13,321,6
10600,3,3,3,23,0
10601,6,4,7,102,2
10602,3,3,3,78,0
10603,14,13,16,277,1
10604,5,3,5,357,2
10605,1,1,1,13,
10606,3,2,3,226,1
10607,5,5,5,171,0
10608,1,1,4,20,
10609,4,1,4,63,3
1061,5,5,8,317,0
10610,1,1,1,55,
10611,6,6,7,80,0
10612,9,5,12,175,4
10613,1,1,1,51,
10614,2,1,2,137,1
10615,19,14,23,347,5
10616,2,2,2,6,0
10617,1,1,3,70,
10618,48,13,85,362,35
10619,2,2,2,17,0
1062,4,2,4,178,2
10620,1,1,1,56,
10621,3,3,3,10,0
10622,11,7,19,326,4
10623,3,3,6,102,0
10624,1,1,1,10,
10625,19,9,21,360,10
10626,13,6,13,287,7
10627,6,2,7,104,4
10628,2,2,2,11,0
10629,14,12,25,230,2
1063,30,11,52,364,19
10630,2,2,2,25,0
10631,6,3,6,347,3
10632,3,1,3,139,2
10633,24,13,26,360,11
10634,1,1,1,26,
10635,28,14,42,364,14
10636,1,1,3,46,
10637,11,10,11,202,1
10638,8,8,8,281,0
10639,28,23,33,363,5
1064,6,5,7,200,1
10640,1,1,1,56,
10641,2,2,2,15,0
10642,6,4,18,307,2
10643,11,6,12,346,5
10644,1,1,3,63,
10645,18,18,19,336,0
10646,2,2,2,121,0
10647,5,4,5,215,1
10648,2,2,3,249,0
10649,2,2,2,55,0
1065,18,8,27,363,10
10650,3,2,4,40,1
10651,12,11,13,151,1
10652,7,7,15,357,0
10653,8,8,14,323,0
10654,8,5,16,340,3
10655,4,2,5,82,2
10656,1,1,1,57,
10657,1,1,1,75,
10658,2,1,4,37,1
10659,2,2,3,166,0
1066,7,7,10,340,0
10660,5,3,5,238,2
10661,6,6,8,171,0
10662,3,3,3,182,0
10663,1,1,1,17,
10664,2,2,2,88,0
10665,1,1,1,65,
10666,6,3,6,364,3
10667,1,1,1,63,
10668,9,8,15,141,1
10669,2,1,2,160,1
1067,2,2,4,65,0
10670,1,1,2,81,
10671,1,1,1,67,
10672,2,1,2,74,1
10673,4,4,4,55,0
10674,1,1,1,74,
10675,6,5,7,70,1
10676,4,3,4,316,1
10677,21,5,36,265,16
10678,7,5,17,281,2
10679,3,1,12,107,2
1068,1,1,1,45,
10680,8,4,8,214,4
10681,5,5,5,170,0
10682,3,3,4,46,0
10683,1,1,1,9,
10684,5,4,10,123,1
10685,1,1,1,54,
10686,1,1,1,27,
10687,7,5,7,199,2
10688,2,2,4,30,0
10689,15,8,52,291,7
1069,1,1,2,24,
10690,8,5,9,333,3
10691,4,2,4,82,2
10692,17,8,32,342,9
10693,1,1,1,12,
10694,12,9,21,210,3
10695,1,1,2,33,
10696,6,6,16,272,0
10697,15,3,21,357,12
10698,14,9,23,341,5
10699,2,2,2,20,0
107,18,4,100,359,14
1070,9,5,27,346,4
10700,3,1,4,104,2
10701,2,2,2,157,0
10702,39,12,42,329,27
10703,3,3,3,77,0
10704,10,9,15,151,1
10705,5,4,5,191,1
10706,3,2,3,64,1
10707,5,5,7,261,0
10708,12,5,23,335,7
10709,3,1,3,115,2
1071,59,32,91,364,27
10710,9,2,9,344,7
10711,2,2,2,87,0
10712,8,7,16,339,1
10713,11,6,16,176,5
10714,2,2,2,34,0
10715,5,2,5,336,3
10716,10,6,10,356,4
10717,8,8,8,212,0
10718,9,3,9,364,6
10719,8,2,8,295,6
1072,29,21,33,357,8
10720,1,1,1,51,
10721,15,8,16,154,7
10722,9,6,11,288,3
10723,1,1,1,13,
10724,1,1,1,1,
10725,2,1,2,56,1
10726,2,2,2,21,0
10727,32,16,44,361,16
10728,38,16,45,365,22
10729,3,2,3,238,1
1073,5,4,5,350,1
10730,5,1,10,331,4
10731,11,4,11,343,7
10732,10,4,12,244,6
10733,6,2,7,45,4
10734,36,12,53,343,24
10735,19,10,26,218,9
10736,9,6,9,326,3
10737,2,2,2,54,0
10738,31,18,61,354,13
10739,8,7,8,247,1
1074,10,5,11,186,5
10740,4,1,4,146,3
10741,2,2,2,45,0
10742,9,4,9,351,5
10743,1,1,1,59,
10744,37,24,54,365,13
10745,8,6,8,55,2
10746,4,3,7,171,1
10747,1,1,1,5,
10748,1,1,1,10,
10749,3,2,3,341,1
1075,17,7,21,363,10
10750,1,1,1,12,
10751,4,3,4,5,1
10752,29,19,50,344,10
10753,1,1,1,47,
10754,13,6,17,352,7
10755,3,2,3,31,1
10756,2,2,3,87,0
10757,6,2,8,358,4
10758,8,7,9,298,1
10759,3,2,4,140,1
1076,1,1,1,5,
10760,1,1,4,19,
10761,1,1,4,17,
10762,14,8,32,357,6
10763,9,5,9,319,4
10764,1,1,1,88,
10765,10,5,10,359,5
10766,9,5,24,150,4
10767,10,5,11,282,5
10768,3,3,3,96,0
10769,6,3,10,58,3
1077,3,1,3,352,2
10770,5,2,8,87,3
10771,4,4,4,212,0
10772,5,4,6,113,1
10773,12,11,14,310,1
10774,6,6,6,188,0
10775,21,13,29,335,8
10776,7,6,8,317,1
10777,1,1,3,59,
10778,1,1,2,12,
10779,1,1,2,58,
1078,4,4,4,358,0
10780,8,5,23,299,3
10781,1,1,1,47,
10782,1,1,1,38,
10783,3,3,8,31,0
10784,8,5,10,363,3
10785,4,3,5,171,1
10786,51,26,80,214,25
10787,7,6,10,177,1
10788,6,2,6,105,4
10789,2,2,2,286,0
1079,14,7,32,363,7
10790,3,1,10,350,2
10791,6,5,6,347,1
10792,6,3,10,269,3
10793,1,1,1,52,
10794,5,5,8,338,0
10795,7,3,9,120,4
10796,6,4,12,316,2
10797,5,4,17,42,1
10798,24,18,37,237,6
10799,9,6,16,174,3
108,2,2,2,173,0
1080,24,4,65,364,20
10800,1,1,2,6,
10801,3,3,3,37,0
10802,22,12,25,299,10
10803,20,8,33,347,12
10804,4,4,5,190,0
10805,16,14,30,346,2
10806,11,5,15,247,6
10807,8,4,8,181,4
10808,13,5,23,122,8
10809,10,8,13,316,2
1081,1,1,1,32,
10810,30,8,40,346,22
10811,1,1,1,55,
10812,1,1,1,70,
10813,2,1,3,97,1
10814,13,10,19,274,3
10815,6,4,10,176,2
10816,3,3,3,110,0
10817,7,2,9,349,5
10818,10,5,15,270,5
10819,5,5,5,152,0
1082,1,1,1,35,
10820,12,10,14,172,2
10821,45,30,142,266,15
10822,63,19,67,363,44
10823,8,3,8,179,5
10824,1,1,1,16,
10825,11,5,12,333,6
10826,6,5,9,115,1
10827,3,2,6,177,1
10828,12,10,13,208,2
10829,14,7,17,127,7
1083,2,2,2,18,0
10830,1,1,1,68,
10831,3,3,4,46,0
10832,9,6,34,309,3
10833,6,4,7,128,2
10834,14,7,14,358,7
10835,6,4,6,301,2
10836,7,7,10,151,0
10837,1,1,1,67,
10838,20,10,34,251,10
10839,9,6,10,356,3
1084,16,6,21,356,10
10840,3,3,3,49,0
10841,6,4,9,325,2
10842,3,3,4,56,0
10843,7,3,10,62,4
10844,2,2,2,105,0
10845,12,6,12,330,6
10846,5,3,10,88,2
10847,9,7,20,190,2
10848,2,2,2,340,0
10849,1,1,1,45,
1085,21,9,36,335,12
10850,2,1,4,110,1
10851,10,6,18,351,4
10852,9,6,26,145,3
10853,1,1,1,23,
10854,21,20,27,222,1
10855,9,8,9,144,1
10856,16,9,17,84,7
10857,3,3,3,296,0
10858,8,8,13,264,0
10859,23,10,49,232,13
1086,15,9,15,237,6
10860,12,9,23,326,3
10861,3,3,4,265,0
10862,6,3,6,298,3
10863,9,5,10,245,4
10864,36,9,62,345,27
10865,29,10,43,232,19
10866,10,4,10,324,6
10867,2,2,6,65,0
10868,7,3,18,259,4
10869,1,1,1,72,
1087,7,6,7,193,1
10870,8,6,13,169,2
10871,7,6,7,76,1
10872,9,3,10,341,6
10873,1,1,4,32,
10874,22,9,39,348,13
10875,7,7,18,149,0
10876,4,3,4,117,1
10877,2,2,2,12,0
10878,23,9,92,111,14
10879,11,5,12,77,6
1088,14,9,16,282,5
10880,21,17,25,343,4
10881,9,7,26,325,2
10882,6,6,6,315,0
10883,12,6,21,355,6
10884,5,4,7,117,1
10885,2,2,2,48,0
10886,27,12,31,355,15
10887,1,1,1,87,
10888,2,2,2,10,0
10889,6,6,8,248,0
1089,1,1,2,62,
10890,1,1,1,60,
10891,5,5,16,306,0
10892,1,1,2,84,
10893,34,11,41,357,23
10894,13,5,21,230,8
10895,1,1,1,89,
10896,1,1,1,88,
10897,1,1,1,38,
10898,3,3,3,175,0
10899,1,1,1,56,
109,9,4,13,171,5
1090,1,1,2,50,
10900,2,2,2,179,0
10901,3,2,5,45,1
10902,2,1,2,10,1
10903,1,1,2,40,
10904,2,2,2,7,0
10905,1,1,1,55,
10906,1,1,1,2,
10907,1,1,6,40,
10908,7,5,9,274,2
10909,21,5,31,338,16
1091,3,2,4,87,1
10910,6,3,12,103,3
10911,5,2,5,76,3
10912,5,5,5,140,0
10913,8,2,15,327,6
10914,4,3,4,170,1
10915,9,7,11,118,2
10916,1,1,1,7,
10917,4,3,6,43,1
10918,1,1,1,35,
10919,11,9,12,331,2
1092,4,4,4,92,0
10920,7,5,8,121,2
10921,6,2,12,216,4
10922,15,9,30,348,6
10923,2,2,2,258,0
10924,18,7,20,365,11
10925,10,4,24,210,6
10926,4,2,4,53,2
10927,4,4,4,171,0
10928,10,7,16,154,3
10929,8,8,8,179,0
1093,18,12,27,171,6
10930,1,1,1,61,
10931,7,7,7,317,0
10932,3,3,4,48,0
10933,3,3,3,49,0
10934,4,4,4,143,0
10935,40,26,71,355,14
10936,4,4,6,18,0
10937,1,1,1,65,
10938,10,8,14,182,2
10939,1,1,2,12,
1094,3,3,3,243,0
10940,8,5,13,194,3
10941,12,9,15,361,3
10942,4,4,4,121,0
10943,2,2,2,50,0
10944,2,2,2,6,0
10945,10,3,17,182,7
10946,11,5,12,354,6
10947,32,17,53,353,15
10948,4,3,15,101,1
10949,1,1,1,59,
1095,3,2,3,329,1
10950,3,3,3,171,0
10951,2,2,2,256,0
10952,51,31,57,363,20
10953,19,5,36,357,14
10954,4,3,4,35,1
10955,6,2,8,262,4
10956,8,3,11,211,5
10957,6,5,6,82,1
10958,9,3,18,356,6
10959,7,4,15,110,3
1096,24,17,30,184,7
10960,4,3,6,174,1
10961,23,12,35,365,11
10962,10,5,13,353,5
10963,1,1,1,20,
10964,1,1,2,56,
10965,5,2,6,123,3
10966,12,6,16,204,6
10967,1,1,1,67,
10968,19,6,19,360,13
10969,1,1,1,58,
1097,3,3,4,74,0
10970,1,1,1,50,
10971,1,1,1,38,
10972,15,8,26,330,7
10973,1,1,1,58,
10974,10,4,20,175,6
10975,5,2,7,140,3
10976,2,2,2,6,0
10977,1,1,1,15,
10978,2,2,3,157,0
