买家会员名,宝贝ID,购买次数
59,536125595091,1
59,540658025950,1
59,547790825984,1
60,544100858313,1
60,545516801138,1
61,36267739775,2
62,36266985550,1
62,36286235128,1
62,527419046969,1
62,528109847799,1
62,531372212963,1
62,536125595091,1
62,538535227251,1
62,541659214822,1
62,544115759872,2
62,547644315780,1
63,36421128017,1
63,532936159396,1
63,535703074519,1
63,541474263467,1
64,547644315780,1
65,531379484499,1
66,35721723963,1
66,35722423659,1
66,36286235128,1
66,540349069906,1
67,36416065395,1
67,37941111428,1
67,45404080098,1
67,529405509010,1
68,35721027449,1
68,35721723963,1
68,35722000205,1
68,36266985550,2
68,42711696783,1
68,45105421124,1
68,520310825412,2
68,527419046969,1
68,529338111966,1
68,536009750573,1
68,536083448292,1
68,541659214822,2
68,547382055156,1
68,547742157633,1
68,547792011631,1
68,549710009588,1
68,551091439907,1
69,521906910410,1
69,529405509010,1
69,531145857565,1
69,536728628605,1
69,541851060973,1
69,543643323771,1
69,545538490326,1
69,546928423058,1
69,547297272467,1
70,35721723963,1
70,35722000205,1
70,36058620932,1
70,36266985550,2
70,37276995387,1
70,37283032735,1
70,37466992184,1
70,39539028043,1
70,42240451814,1
70,44242610103,1
70,44928090920,2
70,528109847799,1
70,529055709096,1
70,529100790989,1
70,529339155756,1
70,537318544352,2
70,539409835003,1
70,540349069906,1
70,544768785584,3
70,545516801138,1
70,545566976422,2
70,545602185334,2
70,545957998521,1
70,547572252871,1
70,547794157516,1
70,549378588703,2
72,544066720474,1
73,35721723963,1
73,35722333869,1
73,35877393642,1
73,36058620932,1
73,36074765406,1
73,36416065395,1
73,37276995387,1
73,44928090920,1
73,530449665002,1
73,536009750573,1
73,539853979136,1
73,544100858313,1
73,547742157633,1
73,550905064205,1
73,550966828606,1
73,550977477078,1
74,540407272609,1
75,544114247390,1
75,545538490326,1
76,35722333869,1
76,36081332365,1
76,36266985550,1
76,36267739775,1
76,36353085367,1
76,521926312352,1
76,544114247390,1
76,545516801138,1
76,545602185334,1
76,545939669017,1
76,546275765548,1
76,547792011631,1
76,549765831606,1
76,550735773284,1
77,39539028043,1
78,36286235128,1
78,37941111428,1
78,39375321605,1
78,39386028930,1
78,42768874029,1
78,43104145123,1
78,542939108885,1
78,546275765548,1
78,547380519834,1
78,547389639874,1
79,522566248653,1
79,535703074519,1
79,540658025950,1
79,540661582201,1
80,35721723963,1
80,35798891586,1
80,36353085367,3
80,36414345451,1
80,520310825412,2
80,527419046969,1
80,538535227251,1
80,545516801138,1
80,545602185334,1
80,547812750733,1
80,550977477078,1
81,533204346200,1
81,545516801138,1
83,545516801138,1
84,541474263467,1
85,36081332365,1
85,546243180299,2
86,545538490326,2
87,35722000205,1
87,35722333869,1
87,545602185334,1
87,547742157633,1
87,549765831606,1
89,36353085367,1
89,528023284532,1
89,531877266868,4
89,547742157633,1
89,549661564014,1
90,530812936284,1
90,541659214822,1
90,548998614714,1
90,549882564050,1
91,543827067334,1
92,529405509010,1
92,540349069906,1
94,547644315780,1
95,36266985550,1
95,544768785584,1
96,530812936284,1
97,540661582201,1
98,530812936284,1
98,549378588703,5
98,550634023902,1
99,528109847799,1
99,545516801138,1
100,35722333869,1
100,36286235128,1
100,40601929263,1
100,42577833473,1
100,521906910410,1
100,531846025844,1
100,544066720474,1
100,544768785584,1
101,544066720474,1
101,544100858313,1
101,550661692854,1
102,35754637865,1
102,546275765548,1
102,547306204530,1
103,536125595091,1
104,35877393642,2
104,36266985550,1
104,36414345451,1
104,39539028043,5
104,42711696783,1
104,521906910410,1
104,527419046969,1
104,527475911875,2
104,538494418449,1
104,538540548218,1
104,539853979136,1
104,548547222435,2
104,550715341924,2
105,535612234886,1
106,36266985550,1
106,540662291619,2
106,545516801138,1
106,547510552253,1
107,40400203213,1
107,42577833473,1
107,530812936284,1
107,531846025844,1
107,535703074519,1
107,544114247390,1
108,548130516925,1
109,35754637865,1
109,36074765406,1
109,37941111428,1
109,538540548218,1
109,545538490326,1
110,528109847799,1
110,543694488413,1
110,543694756340,1
110,543695068744,1
110,543742043514,1
110,543812646033,1
110,543827067334,1
110,544099790786,1
111,538540548218,1
112,545516801138,2
113,36267739775,1
113,36286235128,2
113,36353085367,1
113,37941111428,1
113,528109847799,1
113,530710879153,1
113,536009750573,1
114,36286235128,1
114,544115759872,2
115,36500131840,1
115,539677826038,1
115,541659214822,2
115,547382055156,1
116,541592740476,1
117,529100790989,1
118,36074765406,1
118,36081332365,1
118,36266985550,1
118,42240451814,1
118,45404080098,3
118,521019257989,1
118,527419046969,1
118,528109847799,1
118,531145857565,2
118,531877266868,1
118,537396783238,2
118,538494418449,1
118,547644315780,1
118,548998614714,1
118,550905064205,1
119,35798891586,1
119,544114247390,1
119,545516801138,2
120,522171062085,1
120,536009750573,1
120,545516801138,2
120,550659732532,1
120,550977477078,1
121,528166273868,1
121,546827381933,1
122,35798891586,1
122,37941111428,1
122,40400203213,1
122,529405509010,1
122,531846025844,2
122,531877266868,1
122,538658965256,1
122,541474263467,1
122,546243180299,1
122,546827381933,1
122,547644315780,1
122,549640657338,1
123,530812936284,1
124,546243180299,1
125,35722333869,1
125,35877393642,3
125,36074765406,1
125,522151739462,1
125,522191965500,1
125,522609190751,1
125,527475911875,2
125,528153854399,1
125,530449665002,1
125,536009750573,2
125,545516801138,1
125,547792011631,1
125,549736062191,1
125,549765831606,2
126,35721723963,1
126,35797606083,1
126,37941111428,1
126,528023284532,1
126,529055709096,1
126,536009750573,1
126,545516801138,1
126,545974803385,1
126,547510552253,1
126,547644315780,2
127,531846025844,2
128,35877393642,2
128,532940035080,1
128,547812750733,1
129,42577833473,1
129,530812936284,1
129,549882564050,2
130,527419046969,1
130,529338111966,1
130,545516801138,1
131,37941111428,1
131,39539028043,1
131,40400203213,1
131,544106282196,1
131,544115359956,1
131,545516801138,1
131,547794157516,1
132,547794157516,1
133,36500131840,1
133,44928090920,2
133,527419046969,1
133,528109847799,1
133,529339155756,3
133,530812936284,1
133,532940035080,1
133,537396783238,5
133,540662535716,1
133,544768785584,3
133,545566976422,1
133,546243180299,1
133,550966828606,1
133,551079722431,1
133,551091071810,1
133,551091439907,1
134,45171930915,1
134,521926312352,1
134,535612234886,1
134,535703074519,1
134,536009750573,1
134,537396783238,4
135,35721723963,1
135,35722000205,1
135,36266985550,1
135,36267739775,1
135,36500131840,1
135,521906910410,1
135,527475911875,1
135,529405509010,1
135,533204346200,1
135,537105495948,1
135,544115759872,2
135,545516801138,1
135,545538490326,1
135,545957998521,1
135,545959606207,1
135,547794157516,1
136,36416065395,2
136,44928090920,2
136,531372212963,1
136,531846025844,2
136,537105495948,1
136,537215013586,1
136,540658025950,2
136,541254875522,1
136,542199076372,2
136,547794157516,1
136,549378588703,1
137,36266985550,1
137,39375321605,1
137,39386028930,1
137,527419046969,1
137,538535227251,1
137,543889179481,1
137,544768785584,1
138,35721027449,1
138,40400203213,3
138,40415550893,1
138,533204346200,1
138,535703074519,1
138,536125595091,1
138,537215013586,1
138,537252200486,1
138,537396783238,5
138,540661582201,1
138,541256147554,1
138,542199076372,1
138,546783957758,1
138,548547222435,5
138,550367550663,1
138,550634023902,1
138,551053390911,1
138,551065941768,1
138,551081926272,1
139,36286235128,4
139,39375321605,2
139,39386028930,2
139,527419046969,1
139,536125595091,1
139,537252200486,1
139,542199076372,1
139,542939108885,1
139,546827381933,1
139,547380519834,1
139,547510552253,1
140,550634023902,1
141,35798891586,1
141,36286235128,1
141,39539028043,1
141,530910185416,1
141,540407272609,1
141,545538490326,1
142,36286235128,1
142,36353085367,1
142,527419046969,1
142,538535227251,1
142,539522491801,1
142,539677826038,1
142,543618945546,1
142,545912368452,1
142,546827381933,1
142,549710009588,1
143,538540548218,1
144,35722000205,1
144,35798891586,1
144,36286235128,2
144,36353085367,1
144,39386028930,1
144,538658965256,1
144,539677826038,1
144,547382055156,1
144,547510552253,1
145,545602185334,1
146,530812936284,1
147,547572252871,1
148,529405509010,1
149,35721723963,1
149,35722000205,1
149,35754637865,1
149,35798891586,1
149,35877393642,2
149,36074765406,1
149,36081332365,1
149,36500131840,1
149,37665896062,1
149,39375321605,2
149,39386028930,1
149,42577833473,1
149,44928090920,3
149,45171930915,1
149,528023284532,1
149,533204346200,1
149,535612234886,2
149,536083448292,3
149,537215013586,1
149,537396783238,3
149,538658965256,1
149,539410602755,1
149,539853979136,1
149,540662535716,1
149,542939108885,1
149,542978775847,1
149,544100858313,2
149,544115759872,3
149,544768785584,2
149,546243180299,2
149,547382055156,1
149,547572252871,1
149,548998614714,1
149,549882564050,1
149,550659216693,1
149,550715341924,2
150,547572252871,1
151,36266985550,1
151,42577833473,1
151,527419046969,1
151,536125595091,1
151,545939669017,1
151,547794157516,1
152,530710879153,1
153,35722000205,1
153,36286235128,3
153,36416065395,1
153,528109847799,1
153,530810980941,1
153,539522491801,1
153,539677826038,2
155,40400203213,1
155,530812936284,1
155,531877266868,1
155,533204346200,1
155,545939669017,1
155,550659216693,1
156,35722000205,1
157,35722000205,1
157,36353085367,1
157,40601929263,1
157,527419046969,1
157,538535227251,1
157,539522491801,1
157,544768785584,1
157,545516801138,1
157,545538490326,1
157,548998614714,1
158,35722000205,1
158,35753244214,1
158,35877393642,1
158,36074765406,1
158,36266985550,1
158,36353085367,1
158,39375321605,1
158,40400203213,1
158,520310825412,1
158,527419046969,1
158,530812936284,1
158,535612234886,1
158,539522491801,1
158,542978775847,1
158,548547222435,1
158,548998614714,1
159,528166273868,1
159,550715341924,1
160,36267739775,1
160,37276995387,1
160,37941111428,1
160,527419046969,1
160,529405509010,1
160,545516801138,1
160,547644315780,1
160,550680496523,1
160,550735773284,1
161,36058620932,1
161,44928090920,1
161,545602185334,1
161,546243180299,1
161,548998614714,2
161,549744152016,1
161,551079722431,1
162,531379484499,1
163,548547222435,2
164,547751184046,1
165,527419046969,1
166,35877393642,1
166,37276995387,1
166,39386028930,1
166,43104145123,1
166,522609190751,1
166,528166273868,1
166,530810980941,1
166,536083448292,1
166,536125595091,1
166,537396783238,2
166,538535227251,1
166,539677826038,1
166,542978775847,1
166,543643323771,1
166,544115759872,2
166,545516801138,1
166,545538490326,1
166,547644315780,1
166,548998614714,1
166,549378588703,4
167,37941111428,1
167,521019257989,1
167,540407272609,1
167,549710009588,1
168,40400203213,1
169,528109847799,1
169,535703074519,1
169,544100858313,1
170,45123664231,1
170,521019257989,1
170,528109847799,1
170,544768785584,2
170,546827381933,1
170,547382055156,1
171,522077917778,1
172,40400203213,2
173,547812750733,1
174,36416065395,1
174,538535227251,1
174,539677826038,1
174,545516801138,1
175,36266985550,1
175,529405509010,1
175,537252200486,1
175,541254875522,1
175,547306204530,1
175,549640657338,1
176,549882564050,4
177,36286235128,2
177,37941111428,1
177,44928090920,2
177,522566248653,1
177,527419046969,1
177,530812936284,1
177,531372212963,1
177,537396783238,5
177,548547222435,4
178,541256147554,1
179,36414345451,1
179,39539028043,1
179,522609190751,1
179,528109847799,2
179,544115759872,2
180,36286235128,3
180,36351422002,1
180,39375321605,1
180,530812936284,1
180,536125595091,1
180,541659214822,1
180,549744152016,1
180,550659732532,1
181,548998614714,1
182,546104970758,1
183,36353085367,1
183,521019257989,1
183,540349069906,1
183,540524795725,1
183,540882092170,1
184,39539028043,3
186,536009750573,1
186,545516801138,1
186,547387807548,1
186,550680496523,1
187,538540548218,1
188,35722333869,1
188,521019257989,1
188,528166273868,1
188,535612234886,1
188,547644315780,1
189,539522491801,1
190,537396783238,1
191,531379484499,1
191,544768785584,1
192,40400203213,3
192,537396783238,4
193,36286235128,4
193,521019257989,1
193,527419046969,2
193,540407272609,3
193,545516801138,1
193,548998614714,1
194,36081332365,1
194,36414345451,1
194,37665896062,1
194,45404080098,1
194,528023284532,1
194,528153854399,1
194,529339155756,1
194,530810980941,1
194,531846025844,1
194,538539816052,1
194,544115759872,1
194,545538490326,1
194,547355238181,1
194,547644315780,1
194,547794157516,1
194,547812750733,1
195,35722000205,1
195,530812936284,1
195,538585695146,2
195,544115759872,1
196,529405509010,1
197,36266985550,1
197,531846025844,3
198,35722333869,2
198,36353085367,1
198,527475911875,1
198,544115759872,5
198,546104970758,2
198,547812750733,1
198,549378588703,10
199,35877393642,1
199,37941111428,1
199,528109847799,1
199,530812936284,1
199,535703074519,1
199,545516801138,1
200,35722000205,1
200,545538490326,1
201,544768785584,1
202,36414345451,1
202,540407272609,1
202,545957998521,1
202,546827381933,1
203,35877393642,1
203,36074765406,1
203,37941111428,1
203,521926312352,1
203,538535227251,1
203,538658965256,1
203,541659214822,1
203,544115759872,4
203,544768785584,5
203,547644315780,1
204,45404080098,1
204,530812936284,1
204,531877266868,1
204,540407272609,1
204,545538490326,1
204,545912368452,1
205,35754637865,1
205,536009750573,1
205,544066720474,1
205,544115759872,1
205,549378588703,1
206,537166359199,2
206,546826767033,1
206,548998614714,1
207,531379484499,1
207,541592740476,1
207,544114247390,1
208,545516801138,1
209,544768785584,1
210,35721723963,1
210,39375321605,1
210,521906910410,1
211,530812936284,1
211,535703074519,1
211,537396783238,2
211,540662291619,1
211,545516801138,1
212,36353085367,1
213,36286235128,1
213,39386028930,1
213,528109847799,1
214,540661582201,1
215,536125595091,1
216,530812936284,1
217,35722000205,1
217,36074765406,1
217,36286235128,2
217,45171930915,1
217,522151463307,1
217,531846025844,1
217,532940035080,1
217,538494418449,1
217,538585695146,1
217,539091956756,1
217,545566976422,1
217,550659732532,1
218,35877393642,1
218,36074765406,1
218,36081332365,1
218,36416065395,1
218,37276995387,1
218,42240451814,1
218,520310825412,1
218,521826021046,1
218,531877266868,1
218,539853979136,1
219,35721723963,1
219,35753244214,1
219,35798891586,1
219,538658965256,1
219,542939108885,1
219,545566976422,1
219,547572252871,1
219,550634023902,1
219,551079722431,1
220,42577833473,1
220,531846025844,5
220,537180206236,5
220,541659214822,1
220,543618945546,1
220,544115759872,8
221,35722000205,1
221,35722333869,1
221,36414345451,1
221,37283032735,1
221,37444707994,1
221,37466992184,1
221,44242610103,1
221,44928090920,1
221,45171930915,1
221,45404080098,1
221,527419046969,1
221,527475911875,1
221,528109847799,1
221,531145857565,1
221,537396783238,1
221,541474263467,1
221,547812750733,1
221,550597738824,1
222,542939108885,1
222,545538490326,1
223,36414345451,1
223,42646163798,2
223,44928090920,1
223,539677826038,2
223,540407272609,2
223,545516801138,1
223,545538490326,1
224,36286235128,1
224,36416065395,1
224,40400203213,1
224,520310825412,1
224,521906910410,1
224,527419046969,1
224,528023284532,1
224,530812936284,1
224,536125595091,1
224,538494418449,1
224,538535227251,1
224,538658965256,1
224,539523705313,1
224,540407272609,2
224,548998614714,1
225,36351422002,1
225,36353085367,1
225,37941111428,1
225,528109847799,1
225,529338111966,1
225,533823532718,1
225,545602185334,1
225,545912368452,1
226,44928090920,1
227,36081332365,1
227,545516801138,1
228,35877393642,1
228,36286235128,1
228,527419046969,1
228,528109847799,1
228,528166273868,1
228,546827381933,1
229,35722333869,1
229,35798985871,1
229,36286235128,1
229,36500131840,1
229,37941111428,1
229,521906910410,1
229,522609190751,1
229,541659214822,1
229,546104970758,1
230,40400203213,1
231,35721723963,1
231,35754637865,1
231,37941111428,2
231,39539028043,1
231,42240451814,1
231,522171062085,1
231,528153854399,2
231,530710879153,1
231,537180206236,2
231,539091956756,1
231,540349069906,1
231,543674126623,1
231,544016559367,3
231,544115759872,2
231,545516801138,1
231,545538490326,1
231,545602185334,1
231,545912368452,1
231,546827381933,1
231,547297272467,1
231,547355238181,1
231,549378588703,5
231,549661564014,1
231,551079722431,1
232,35722000205,3
232,537318544352,1
232,545516801138,1
232,548998614714,2
233,35798891586,1
233,37665896062,1
233,535612234886,1
233,538535227251,1
233,544016559367,1
233,546827381933,1
234,36081332365,1
234,36353085367,1
234,39539028043,1
234,520310825412,3
234,528109847799,2
234,531846025844,1
234,531877266868,1
234,535612234886,1
234,541474263467,1
234,541851060973,1
234,543694848992,1
234,544115359956,1
234,545516801138,1
234,547382055156,1
234,547742157633,1
234,547794157516,1
234,549378588703,2
234,549661564014,1
234,549736062191,1
235,35722000205,1
236,544768785584,1
237,43104145123,1
237,541592740476,2
237,551053390911,1
237,551248890640,1
238,528705813655,1
239,522566248653,1
239,527419046969,1
239,530812936284,1
239,531846025844,1
239,532940035080,1
239,540662291619,1
240,549744152016,1
241,35877393642,1
241,36267739775,1
241,36414345451,1
241,536125595091,1
241,550659732532,1
242,35722000205,1
243,528705813655,2
244,549710009588,1
245,35721723963,1
245,528109847799,1
246,35877393642,1
246,36074765406,1
246,36414345451,1
246,549536550945,1
246,550659216693,1
246,551091071810,1
247,35798309577,1
247,35798891586,1
247,527419046969,1
247,530810980941,1
247,531372212963,1
247,536083448292,1
247,537105495948,1
247,537396783238,1
247,537829232054,1
247,539677826038,1
247,540658025950,1
247,541256147554,1
247,541592384250,1
247,541659214822,1
247,542939108885,1
247,542978775847,1
247,543616473590,1
248,35722000205,5
248,36266985550,1
248,36286235128,4
248,37941111428,1
248,42711696783,1
248,530812936284,1
248,535612234886,1
248,535703074519,1
248,536728628605,1
248,540662291619,3
248,541474263467,1
248,545602185334,1
248,547327221986,1
248,547742157633,1
248,548998614714,2
249,35722333869,1
249,39539028043,1
249,528109847799,1
249,544066720474,1
250,537396783238,5
252,39539028043,10
252,544100858313,1
253,36267739775,1
253,36286235128,1
253,36353085367,1
253,37444707994,1
253,45404080098,1
253,522060783761,1
253,522077917778,1
253,522078297513,1
253,522078457232,1
253,522151463307,1
253,522151739462,1
253,522171062085,1
253,524619920574,1
253,536009750573,1
253,539091956756,1
253,544066720474,1
253,545516801138,1
253,545602185334,1
254,521019257989,1
254,541659214822,1
255,36081332365,1
255,36266985550,1
255,37665896062,1
255,42711696783,2
255,527419046969,1
255,531145857565,1
255,535612234886,1
255,538658965256,1
255,540407272609,1
255,543694756340,1
255,543695068744,1
255,543812646033,1
255,544100858313,1
255,544115359956,1
255,549378588703,3
255,549744152016,1
255,549882564050,1
256,527419046969,1
256,528166273868,1
256,536125595091,1
256,543889179481,1
256,547572252871,1
257,549882564050,4
260,539677826038,1
261,36351422002,1
261,36353085367,4
261,37276995387,1
261,550977477078,1
262,44928090920,1
263,36266985550,1
263,36267739775,1
263,36351422002,1
263,37276995387,1
263,521019257989,1
263,529337915679,1
263,530449665002,1
263,540349069906,1
263,543719829706,1
264,36353085367,1
264,36414345451,1
264,37941111428,1
264,522609190751,1
264,527419046969,1
264,538494418449,1
264,538540548218,1
264,545566976422,1
265,40400203213,1
265,528109847799,1
265,529338111966,1
265,545602185334,1
265,546243180299,1
266,527419046969,2
266,547794157516,1
267,45404080098,1
267,527419046969,1
267,531145857565,1
267,537252200486,1
267,541659214822,1
267,547751184046,1
267,551091439907,1
268,539523705313,1
269,537252200486,1
270,35722333869,1
270,35798891586,1
270,35798985871,2
270,36074765406,1
270,36414345451,1
270,522151739462,1
271,548547222435,2
272,45105421124,1
272,529338111966,1
272,545538490326,1
273,37283032735,1
273,37444707994,1
273,529100790989,1
273,538535227251,1
274,36266985550,1
274,36267739775,1
275,35722000205,1
275,540407272609,1
276,35722000205,6
276,44928090920,2
276,544066720474,1
276,544100858313,1
276,544768785584,1
276,546243180299,1
277,35750823403,1
277,36500131840,1
277,521019257989,1
277,531846025844,1
278,35722333869,3
278,36286235128,8
278,45404080098,4
278,527419046969,2
278,531877266868,1
278,535703074519,1
278,541474263467,1
279,521926312352,1
279,530449665002,2
280,35722333869,1
280,35877393642,3
280,36058620932,1
280,36266985550,1
280,42577833473,1
280,44928090920,1
280,528109847799,1
280,533204346200,1
280,537396783238,2
280,539410602755,1
280,539678458590,1
280,545566976422,1
280,545602185334,1
280,547644315780,1
280,550659216693,1
281,35722333869,1
281,35750823403,1
281,36416065395,1
281,36500131840,1
281,522171062085,1
281,528023284532,1
281,530449665002,1
281,539522491801,1
281,539677826038,1
281,544066720474,1
281,547355238181,1
282,35721027449,1
282,39375321605,1
282,45404080098,1
282,538658965256,1
282,540407272609,1
282,542939108885,1
282,542978775847,1
282,544768785584,1
282,547380519834,1
282,547751184046,1
282,549736062191,1
282,549744152016,1
283,42711696783,1
283,531877266868,1
283,544016559367,4
284,44928090920,1
284,537396783238,5
284,548547222435,2
285,545538490326,2
286,531145857565,1
288,35722000205,1
288,36266985550,1
288,39375321605,1
288,527419046969,2
288,537396783238,1
288,541474263467,1
289,537396783238,1
290,545538490326,1
291,36058620932,1
291,36286235128,1
291,40400203213,1
291,42577833473,1
291,42711696783,1
291,45404080098,1
291,528166273868,1
291,529339155756,1
291,531877266868,1
291,536083448292,1
291,541659214822,1
291,543670894727,1
291,545939669017,1
292,40400203213,1
292,45404080098,2
292,527419046969,3
293,538494418449,1
294,35722000205,1
294,547751184046,1
295,37941111428,1
295,531877266868,1
295,539677826038,1
295,540407272609,1
295,543636819112,1
296,549378588703,4
297,36286235128,1
297,37941111428,1
297,45404080098,1
297,531877266868,1
297,540349069906,1
297,547751184046,1
298,36351422002,1
298,36500131840,1
298,547742157633,1
299,39539028043,5
300,527475911875,3
300,536009750573,1
300,545516801138,1
301,40400203213,1
302,35722000205,1
302,521926312352,1
302,527475911875,1
302,531877266868,1
302,545516801138,1
303,529100790989,1
304,36286235128,1
305,35722000205,1
305,36266985550,1
305,36286235128,1
305,36351422002,1
305,36416065395,1
305,36500131840,1
305,42646163798,1
305,45404080098,1
305,521019257989,1
305,527475911875,1
305,530710879153,1
305,531379484499,1
305,531877266868,1
305,537396783238,1
305,539677826038,1
305,540349069906,1
305,548547222435,1
306,35722000205,1
306,35877393642,1
306,36414345451,1
306,37941111428,1
306,39539028043,1
306,42711696783,1
306,44928090920,1
306,45171930915,1
306,520310825412,2
306,522566248653,1
306,527475911875,1
306,528023284532,1
306,528109847799,2
306,530812936284,1
306,531877266868,2
306,535612234886,2
306,535703074519,1
306,536009750573,1
306,536728628605,1
306,541474263467,2
306,541592740476,1
306,544066720474,2
306,545516801138,1
306,545959606207,1
306,546827381933,2
306,547742157633,1
306,547751184046,1
306,547792011631,1
306,549378588703,1
306,549640657338,2
306,549736062191,3
306,550661692854,1
307,40400203213,1
307,546827381933,1
308,521019257989,2
308,530812936284,1
308,535703074519,2
308,538494418449,1
308,538540548218,1
308,541474263467,1
308,549378588703,1
308,550597738824,1
308,550966828606,1
309,39539028043,3
309,40400203213,1
309,540662291619,1
309,542939108885,1
310,35721723963,1
310,35754637865,1
310,35877393642,1
310,36421128017,1
310,37276995387,1
310,37941111428,1
310,529338111966,1
310,530810980941,1
310,536083448292,1
310,538494418449,1
310,538658965256,1
310,539522491801,1
310,539853979136,1
310,542939108885,1
310,547380519834,2
310,547389639874,1
310,547510552253,2
311,36081332365,1
312,35722333869,2
312,522609190751,1
312,527475911875,1
312,529338111966,2
312,536009750573,1
312,538540548218,1
312,545912368452,1
312,547644315780,1
313,35722333869,1
313,36416065395,1
313,39539028043,1
313,522077917778,1
313,528109847799,1
313,530812936284,1
313,535612234886,1
313,537396783238,1
313,540407272609,1
313,542939108885,1
313,544115759872,1
313,547794157516,1
314,531877266868,5
315,35722000205,1
316,528109847799,1
316,531877266868,1
316,539522491801,1
316,543694756340,1
316,544115759872,1
317,35722000205,1
317,35722333869,1
317,35798985871,1
317,36286235128,1
