买家会员名,收货地址,买家实际支付金额,宝贝种类,宝贝总数量,购买数量,儿童/小学生_购买数量,幼儿_购买数量,幼儿/儿童_购买数量,幼儿/儿童/小学生_购买数量,新生儿_购买数量,新生儿/幼儿_购买数量,新生儿/幼儿/儿童_购买数量,新生儿/幼儿/儿童/小学生_购买数量,购买次数
111,江西省,34,1,10,0,0,0,0,10,0,0,0,0,1
1110,广东省,28.7,1,3,0,0,0,3,0,0,0,0,0,1
1111,云南省,57.5,16,26,0,0,6,9,8,0,0,0,0,1
1112,河北省,27.77,6,6,0,0,1,2,3,0,0,0,0,1
1113,北京,26.64,9,12,4,0,0,6,2,0,0,0,0,1
1114,广东省,46.85,1,15,0,0,0,0,15,0,0,0,0,1
1115,浙江省,71.89,10,15,7,0,0,2,4,0,0,0,2,1
1116,上海,189.1,14,80,0,10,0,5,25,0,0,0,0,1
1117,江西省,89.72,34,45,10,1,3,10,9,0,0,0,0,1
1118,辽宁省,189.06,28,43,0,3,0,7,31,0,0,0,0,2
1119,湖南省,21.08,7,7,0,0,0,1,6,0,0,0,0,1
112,湖北省,68.5,2,15,0,0,0,0,15,0,0,0,0,1
1120,四川省,168.86,21,114,0,0,0,34,75,0,0,0,0,1
1121,江苏省,150,36,52,1,1,0,11,34,0,2,0,0,1
1122,湖北省,21.11,10,10,0,0,0,0,0,0,0,0,0,1
1123,广东省,24.9,1,1,0,0,0,0,1,0,0,0,0,1
1124,河南省,18.6,4,4,0,0,0,4,0,0,0,0,0,1
1125,江西省,11.8,2,2,0,0,0,2,0,0,0,0,0,1
1126,江苏省,20.9,1,1,0,0,0,0,1,0,0,0,0,1
1127,江西省,60.64,10,44,20,2,0,2,19,0,0,0,0,1
1128,江西省,57.46,10,11,0,0,1,2,7,0,0,0,0,1
1129,浙江省,62.41,13,16,0,1,0,10,4,0,0,0,1,1
113,云南省,20.19,8,8,1,1,0,4,2,0,0,0,0,1
1130,广西壮族自治区,40.54,9,9,0,2,0,3,4,0,0,0,0,1
1131,湖北省,43.93,13,16,5,0,0,6,5,0,0,0,0,1
1132,湖北省,255,10,170,0,0,0,0,0,0,0,0,0,1
1133,浙江省,54.43,11,20,0,2,0,6,10,0,0,0,0,1
1134,湖北省,40.45,7,7,0,0,0,1,3,0,1,0,0,1
1135,浙江省,77.68,4,12,5,3,0,0,4,0,0,0,0,1
1136,江苏省,358.1,12,130,0,0,0,30,100,0,0,0,0,2
1137,福建省,32.36,6,25,15,0,0,0,10,0,0,0,0,1
1138,广西壮族自治区,34.8,1,20,0,0,0,0,20,0,0,0,0,1
1139,江苏省,74.06,10,16,7,0,0,2,7,0,0,0,0,2
114,海南省,43.14,3,21,0,0,0,5,16,0,0,0,0,1
1140,江苏省,159.85,8,79,40,0,0,0,35,0,0,4,0,3
1141,湖北省,18.36,4,4,0,0,0,4,0,0,0,0,0,1
1142,内蒙古自治区,73.75,6,19,0,0,0,7,9,0,0,0,0,1
1143,福建省,47.45,5,8,0,0,0,3,5,0,0,0,0,1
1144,浙江省,98.61,18,19,0,1,1,5,7,0,0,1,0,1
1145,江苏省,0,1,1,0,0,0,0,1,0,0,0,0,1
1146,黑龙江省,71.1,1,19,0,0,0,0,19,0,0,0,0,1
1147,浙江省,39.5,1,5,0,0,0,0,5,0,0,0,0,1
1148,辽宁省,12.59,3,3,1,0,0,2,0,0,0,0,0,1
1149,海南省,163.8,1,22,0,0,0,22,0,0,0,0,0,1
115,广东省,40.26,5,10,0,0,0,3,6,0,1,0,0,2
1150,安徽省,150,4,80,0,0,0,0,80,0,0,0,0,1
1151,浙江省,112.7,9,89,0,0,0,0,89,0,0,0,0,1
1152,重庆,9.9,1,1,0,0,0,0,1,0,0,0,0,1
1153,四川省,235,1,50,0,0,0,50,0,0,0,0,0,1
1154,河南省,20.39,7,7,0,0,0,3,3,0,1,0,0,1
1155,福建省,68.3,6,43,0,0,0,3,40,0,0,0,0,1
1156,广西壮族自治区,102.43,10,27,0,0,0,12,5,0,8,2,0,1
1157,河南省,41.01,20,21,0,0,0,10,4,0,0,1,0,1
1158,江西省,54.51,19,49,30,1,0,3,6,1,0,1,0,1
1159,贵州省,119.57,15,15,0,0,0,11,2,0,0,0,2,1
116,浙江省,18.9,1,1,0,0,0,0,0,0,1,0,0,1
1160,陕西省,44,1,10,0,0,0,0,10,0,0,0,0,1
1161,浙江省,39.98,6,10,5,0,0,1,2,0,0,0,0,1
1162,山西省,34.9,1,1,0,0,0,0,0,0,0,0,0,1
1163,河南省,108.91,8,24,0,0,0,9,13,0,0,0,0,1
1164,上海,124.5,1,90,0,0,0,0,0,0,0,0,0,1
1165,辽宁省,36.6,1,4,0,0,0,4,0,0,0,0,0,1
1166,浙江省,34.4,1,6,0,0,0,0,6,0,0,0,0,1
1167,湖南省,35,4,8,5,0,0,1,2,0,0,0,0,1
1168,河南省,58.89,7,7,0,0,0,1,5,0,0,1,0,1
1169,广东省,43.78,7,10,2,0,0,1,7,0,0,0,0,1
117,江西省,150,1,68,0,0,0,68,0,0,0,0,0,1
1170,辽宁省,60.56,2,10,0,0,0,0,10,0,0,0,0,1
1171,陕西省,89.48,17,18,0,1,2,8,6,0,0,0,0,1
1172,江苏省,118.35,9,29,0,0,0,26,0,0,0,0,3,1
1173,广东省,56.7,1,3,0,0,0,0,3,0,0,0,0,1
1174,福建省,55.86,2,60,60,0,0,0,0,0,0,0,0,1
1175,海南省,13.7,1,3,0,0,0,0,3,0,0,0,0,1
1176,河北省,63.9,17,17,0,1,2,2,10,0,1,1,0,1
1177,广东省,26.67,4,5,0,0,0,2,1,0,0,0,0,1
1178,广东省,30.87,6,6,0,0,0,1,1,0,2,0,0,1
1179,北京,39.8,7,13,8,0,0,4,1,0,0,0,0,1
118,江苏省,371.97,20,98,25,8,10,15,38,0,0,0,0,1
1180,福建省,76,8,10,0,0,0,8,2,0,0,0,0,1
1181,福建省,14.9,1,1,0,0,0,0,0,0,0,0,0,1
1182,江西省,138,2,20,0,0,0,0,0,0,0,0,0,2
1183,广东省,54.99,9,9,0,0,0,0,6,0,0,0,0,1
1184,安徽省,287.14,12,157,0,6,0,10,101,0,0,0,0,1
1185,山西省,9.58,2,2,0,0,0,0,2,0,0,0,0,1
1186,广东省,65.78,1,22,0,0,0,22,0,0,0,0,0,1
1187,广西壮族自治区,202.65,35,74,0,10,0,12,48,0,0,3,0,1
1188,北京,147.72,9,42,3,0,0,0,39,0,0,0,0,1
1189,广西壮族自治区,56.12,19,22,1,0,1,8,11,0,0,0,0,1
119,辽宁省,31.4,4,6,0,0,0,1,5,0,0,0,0,1
1190,贵州省,21.28,4,4,0,0,1,1,2,0,0,0,0,1
1191,山东省,58.07,7,7,0,1,0,1,5,0,0,0,0,1
1192,浙江省,34.9,1,1,0,1,0,0,0,0,0,0,0,1
1193,广西壮族自治区,386.2,14,49,0,0,0,49,0,0,0,0,0,1
1194,江西省,19.7,1,3,0,0,0,0,3,0,0,0,0,1
1195,云南省,37.05,9,9,0,0,0,1,4,0,0,0,0,1
1196,河南省,53.34,5,5,0,1,2,1,0,0,0,0,0,1
1197,山西省,41.64,15,15,0,0,0,12,3,0,0,0,0,1
1198,陕西省,55.74,1,6,0,0,0,0,6,0,0,0,0,1
1199,辽宁省,18.38,3,3,0,0,1,0,1,0,0,0,1,1
12,福建省,44.16,10,13,4,0,2,3,4,0,0,0,0,1
120,山东省,155.84,6,49,0,20,0,10,19,0,0,0,0,1
1200,江西省,47.58,4,10,0,0,0,4,6,0,0,0,0,1
1201,广东省,103.24,15,15,0,1,1,9,3,0,0,0,0,1
1202,江苏省,54.5,1,5,0,0,0,5,0,0,0,0,0,1
1203,福建省,129.4,7,71,30,0,0,10,31,0,0,0,0,2
1204,河北省,85.45,5,25,0,0,0,15,10,0,0,0,0,1
1205,贵州省,58.33,14,14,0,0,0,9,5,0,0,0,0,1
1206,湖南省,55.93,1,100,0,0,0,0,100,0,0,0,0,1
1207,广东省,26.71,6,9,0,0,1,0,6,0,1,0,0,1
1208,山东省,20.68,3,3,0,1,0,0,1,0,0,1,0,1
1209,安徽省,100.57,9,10,0,0,0,3,5,0,0,0,0,1
121,江西省,40.3,2,7,0,0,0,0,5,0,0,2,0,1
1210,河南省,57.48,24,29,4,0,1,6,17,0,0,1,0,1
1211,河南省,11.76,4,4,0,0,4,0,0,0,0,0,0,1
1212,浙江省,24.9,1,1,0,0,0,0,1,0,0,0,0,1
1213,辽宁省,117.56,7,10,0,0,0,1,9,0,0,0,0,1
1214,湖南省,22.98,4,5,0,0,0,2,3,0,0,0,0,1
1215,四川省,92.2,17,20,0,1,0,4,14,0,0,0,0,1
1216,浙江省,9.9,1,1,0,0,0,1,0,0,0,0,0,1
1217,浙江省,290,2,10,0,0,0,0,5,0,0,0,0,1
1218,广东省,58.94,17,23,8,1,1,4,6,1,2,0,0,1
1219,广东省,25.28,2,12,0,0,0,0,12,0,0,0,0,1
122,安徽省,103.51,17,25,0,1,2,8,7,0,0,3,0,1
1220,山东省,25.97,3,3,0,0,0,2,1,0,0,0,0,1
1221,山西省,125.39,15,50,0,10,0,8,18,0,5,0,0,1
1222,福建省,74.82,4,40,0,0,0,0,40,0,0,0,0,1
1223,云南省,65.74,26,27,0,0,0,8,11,0,3,0,0,3
1224,浙江省,151.14,12,48,0,4,0,12,25,0,4,0,0,1
1225,浙江省,12.8,1,5,0,0,0,0,5,0,0,0,0,1
1226,广西壮族自治区,18.9,1,1,0,1,0,0,0,0,0,0,0,1
1227,广东省,13.9,1,1,0,0,0,0,1,0,0,0,0,1
1228,河北省,24.37,4,4,0,0,0,3,1,0,0,0,0,1
1229,湖北省,36.23,4,18,0,0,0,0,18,0,0,0,0,1
123,福建省,12.9,1,1,0,0,0,1,0,0,0,0,0,1
1230,上海,34.4,1,6,0,0,0,0,6,0,0,0,0,1
1231,上海,33.84,7,7,0,0,0,3,3,0,0,1,0,1
1232,广东省,11.11,2,4,0,0,0,0,0,0,0,0,0,2
1233,广东省,36.66,4,5,0,0,0,4,0,0,0,0,0,1
1234,广东省,65.18,11,15,0,0,0,4,10,0,0,1,0,1
1235,广东省,19.25,2,2,0,0,0,0,2,0,0,0,0,1
1236,广东省,57.35,8,10,0,1,0,0,6,0,1,0,0,1
1237,安徽省,19.41,1,3,0,0,0,0,3,0,0,0,0,1
1238,浙江省,88.51,10,15,0,3,0,3,9,0,0,0,0,1
1239,重庆,77.5,5,5,0,1,0,2,1,0,0,0,0,1
124,江西省,234,1,130,0,0,0,0,130,0,0,0,0,1
1240,陕西省,57.43,2,14,0,0,0,0,14,0,0,0,0,1
1241,天津,20.9,1,1,0,0,0,0,1,0,0,0,0,1
1242,重庆,55,1,20,0,0,0,0,20,0,0,0,0,1
1243,海南省,24.6,1,4,0,0,0,0,4,0,0,0,0,1
1244,山东省,22.94,1,6,0,0,0,0,6,0,0,0,0,1
1245,广东省,36.54,9,9,0,0,0,6,2,0,0,0,0,1
1246,山东省,29.39,7,12,0,0,0,10,1,0,0,0,0,1
1247,重庆,28.25,3,3,0,0,0,3,0,0,0,0,0,1
1248,海南省,139.61,14,54,0,0,0,2,45,2,0,5,0,1
1249,安徽省,40.84,7,12,2,0,0,1,9,0,0,0,0,1
125,黑龙江省,538.78,23,245,0,25,0,33,137,0,0,0,0,4
1250,上海,335,16,59,0,0,0,0,59,0,0,0,0,3
1251,辽宁省,34.9,1,1,0,0,0,0,1,0,0,0,0,1
1252,四川省,198.61,14,61,0,0,23,3,35,0,0,0,0,2
1253,黑龙江省,24.95,1,5,0,0,0,0,5,0,0,0,0,1
1254,新疆维吾尔自治区,679.2,91,93,0,2,4,28,50,0,2,0,1,2
1255,上海,96.71,3,45,0,15,0,0,30,0,0,0,0,1
1256,河南省,58.53,5,29,0,6,2,20,1,0,0,0,0,1
1257,河北省,31.85,1,15,0,0,0,0,15,0,0,0,0,1
1258,广东省,29.36,5,5,0,0,0,0,4,1,0,0,0,1
1259,湖北省,171.59,17,41,0,0,4,6,26,0,0,0,0,3
126,山东省,111.8,16,37,0,1,0,8,18,0,0,0,0,2
1260,河北省,257.2,5,32,0,0,0,3,29,0,0,0,0,2
1261,天津,34.6,4,4,0,1,0,3,0,0,0,0,0,1
1262,黑龙江省,24.11,1,10,0,0,0,0,0,0,0,0,0,1
1263,吉林省,10.9,1,1,0,0,0,0,1,0,0,0,0,1
1264,云南省,40.8,1,20,0,0,0,0,20,0,0,0,0,1
1265,河南省,70.11,7,8,0,0,0,0,6,0,0,1,1,1
1266,江西省,88.91,7,28,0,0,0,14,14,0,0,0,0,1
1267,福建省,82.43,6,42,0,5,0,0,37,0,0,0,0,1
1268,湖北省,22.4,2,2,0,0,0,2,0,0,0,0,0,1
1269,广东省,61.47,5,6,0,0,0,3,2,0,0,1,0,2
127,辽宁省,49.45,2,10,0,0,0,10,0,0,0,0,0,1
1270,广东省,11.9,1,1,0,0,0,0,1,0,0,0,0,1
1271,广东省,31.96,5,8,0,0,2,0,6,0,0,0,0,1
1272,江苏省,141.43,19,61,0,5,0,12,26,2,6,0,0,1
1273,广东省,20.59,1,10,0,0,0,0,10,0,0,0,0,1
1274,湖北省,20.9,1,10,0,0,0,0,10,0,0,0,0,1
1275,安徽省,24.9,1,1,0,0,0,0,1,0,0,0,0,1
1276,四川省,97.72,2,23,0,0,0,0,23,0,0,0,0,1
1277,上海,32.86,5,6,0,0,0,5,1,0,0,0,0,1
1278,山东省,125.5,9,20,0,0,0,2,15,0,0,0,0,1
1279,安徽省,18.9,1,1,0,0,0,0,0,0,1,0,0,1
128,重庆,51.38,7,17,0,0,0,2,7,0,0,0,0,1
1280,云南省,13.89,2,2,0,0,0,2,0,0,0,0,0,1
1281,浙江省,54.33,12,12,0,0,0,4,6,0,1,0,0,1
1282,江西省,28.92,1,8,0,0,0,8,0,0,0,0,0,1
1283,福建省,310,4,330,0,0,0,50,280,0,0,0,0,1
1284,江苏省,50.72,13,15,2,2,0,2,4,0,0,0,0,1
1285,浙江省,44.99,7,8,2,0,0,5,1,0,0,0,0,1
1286,福建省,25.23,4,8,0,0,0,6,0,0,0,0,0,1
1287,海南省,42.94,7,23,0,0,0,11,10,0,0,0,0,1
1288,江西省,177.08,4,88,0,0,6,10,72,0,0,0,0,2
1289,四川省,20.8,2,2,0,0,0,2,0,0,0,0,0,1
129,浙江省,31.58,4,4,0,0,0,2,2,0,0,0,0,1
1290,湖南省,8.29,1,1,0,0,0,0,1,0,0,0,0,1
1291,福建省,11.9,1,1,0,0,0,0,1,0,0,0,0,1
1292,浙江省,53.66,2,34,0,0,0,0,34,0,0,0,0,1
1293,湖南省,27.43,8,9,0,1,2,0,4,0,0,0,0,1
1294,江西省,10.9,1,1,0,0,0,0,1,0,0,0,0,1
1295,广东省,76.22,8,21,0,0,0,0,10,0,0,0,0,1
1296,江苏省,205,2,50,15,0,0,0,35,0,0,0,0,1
1297,浙江省,12.9,1,1,0,0,0,1,0,0,0,0,0,1
1298,云南省,36.6,4,4,0,0,0,4,0,0,0,0,0,1
1299,福建省,54.57,16,22,5,0,0,3,14,0,0,0,0,1
13,浙江省,30.9,1,1,0,0,0,0,1,0,0,0,0,1
130,江西省,200.4,3,45,0,0,0,10,35,0,0,0,0,1
1300,广东省,14.8,1,2,0,0,0,0,2,0,0,0,0,1
1301,广东省,55.07,9,9,0,1,1,5,2,0,0,0,0,1
1302,江西省,24.46,4,9,0,3,0,0,6,0,0,0,0,1
1303,广东省,42.02,13,13,0,1,0,2,8,0,1,1,0,1
1304,四川省,198.4,4,25,0,10,0,0,15,0,0,0,0,2
1305,四川省,69,1,10,0,0,0,0,10,0,0,0,0,1
1306,湖南省,179.29,10,21,0,0,0,2,14,0,0,2,0,1
1307,河北省,81.12,14,15,0,1,0,1,10,0,1,0,0,1
1308,广东省,21.9,1,1,0,0,0,0,0,0,0,0,1,1
1309,浙江省,20.14,7,7,0,0,0,3,4,0,0,0,0,1
131,江苏省,64.28,8,8,0,1,0,0,6,0,0,0,0,2
1310,黑龙江省,59.01,9,10,0,0,0,0,10,0,0,0,0,1
1311,北京,62.98,10,31,0,3,0,6,22,0,0,0,0,1
1312,安徽省,10.9,1,1,0,0,0,0,1,0,0,0,0,1
1313,江西省,61.88,5,17,0,2,0,5,5,0,0,5,0,1
1314,辽宁省,20.9,1,1,0,0,0,0,1,0,0,0,0,1
1315,河北省,97.01,13,26,0,0,0,2,18,0,4,2,0,1
1316,四川省,18.49,3,6,4,0,0,0,2,0,0,0,0,1
1317,陕西省,84.5,1,50,0,0,0,0,50,0,0,0,0,1
1318,湖南省,57.14,6,6,0,0,0,4,2,0,0,0,0,1
1319,河北省,26.18,3,3,0,0,0,2,1,0,0,0,0,1
132,黑龙江省,84.7,1,13,0,0,0,0,13,0,0,0,0,1
1320,福建省,68.2,1,8,0,0,0,0,8,0,0,0,0,1
1321,黑龙江省,61.23,5,37,0,0,0,0,37,0,0,0,0,1
1322,浙江省,63.58,13,13,0,0,1,3,7,0,1,0,0,1
1323,浙江省,59.19,12,17,0,0,0,1,14,0,2,0,0,1
1324,浙江省,1033,1,53,0,0,0,0,53,0,0,0,0,1
1325,贵州省,30.8,1,2,0,0,0,0,0,0,0,0,0,1
1326,陕西省,73,1,40,0,0,0,40,0,0,0,0,0,1
1327,上海,59.47,19,22,4,0,0,3,4,0,0,0,0,1
1328,山东省,514.24,28,117,0,0,0,39,44,0,0,0,0,1
1329,四川省,30.7,3,4,2,0,0,1,1,0,0,0,0,1
133,江西省,174.55,25,46,0,0,0,22,22,0,0,2,0,1
1330,浙江省,192.5,1,35,0,0,0,0,35,0,0,0,0,1
1331,北京,53.49,9,9,0,0,1,2,6,0,0,0,0,1
1332,浙江省,166.8,6,80,0,0,0,53,15,0,0,0,0,1
1333,山东省,92.19,8,12,5,1,0,0,4,0,0,0,1,1
1334,广东省,58.87,7,8,0,0,0,5,2,0,0,1,0,1
1335,福建省,60.2,1,8,0,0,0,8,0,0,0,0,0,1
1336,江苏省,156.71,8,65,0,0,0,0,65,0,0,0,0,1
1337,湖南省,41.87,10,15,0,3,1,1,7,0,0,0,0,1
1338,山西省,34.9,1,1,0,0,0,0,1,0,0,0,0,1
1339,福建省,23.88,4,4,0,0,0,1,3,0,0,0,0,1
134,吉林省,81.85,9,19,0,5,0,8,6,0,0,0,0,1
1340,湖南省,23.8,2,2,0,0,0,0,2,0,0,0,0,2
1341,辽宁省,12.9,1,1,0,0,0,1,0,0,0,0,0,1
1342,河南省,171.1,3,90,0,0,0,0,90,0,0,0,0,1
1343,河北省,15.09,2,3,0,0,0,2,1,0,0,0,0,1
1344,重庆,160,3,124,0,0,50,0,74,0,0,0,0,1
1345,福建省,37.16,7,9,0,0,1,2,6,0,0,0,0,1
